Batch 325: 0.082 s, average cost 0.791, 39/100 correct (39.0%)
Batch 326: 0.088 s, average cost 0.853, 26/100 correct (26.0%)
Batch 327: 0.097 s, average cost 0.855, 32/100 correct (32.0%)
Batch 328: 0.089 s, average cost 0.826, 32/100 correct (32.0%)
Batch 329: 0.082 s, average cost 0.849, 26/100 correct (26.0%)
Batch 330: 0.086 s, average cost 0.809, 36/100 correct (36.0%)
Batch 331: 0.088 s, average cost 0.781, 33/100 correct (33.0%)
Batch 332: 0.086 s, average cost 0.82, 34/100 correct (34.0%)
Batch 333: 0.087 s, average cost 0.81, 29/100 correct (29.0%)
Batch 334: 0.087 s, average cost 0.823, 31/100 correct (31.0%)
Batch 335: 0.086 s, average cost 0.79, 34/100 correct (34.0%)
Batch 336: 0.083 s, average cost 0.798, 36/100 correct (36.0%)
Batch 337: 0.084 s, average cost 0.799, 33/100 correct (33.0%)
Batch 338: 0.085 s, average cost 0.793, 36/100 correct (36.0%)
Batch 339: 0.082 s, average cost 0.812, 32/100 correct (32.0%)
Batch 340: 0.0975 s, average cost 0.795, 37/100 correct (37.0%)
Batch 341: 0.087 s, average cost 0.775, 41/100 correct (41.0%)
Batch 342: 0.088 s, average cost 0.821, 26/100 correct (26.0%)
Batch 343: 0.085 s, average cost 0.773, 39/100 correct (39.0%)
Batch 344: 0.084 s, average cost 0.774, 40/100 correct (40.0%)
Batch 345: 0.086 s, average cost 0.779, 38/100 correct (38.0%)
Batch 346: 0.089 s, average cost 0.793, 34/100 correct (34.0%)
Batch 347: 0.09 s, average cost 0.785, 40/100 correct (40.0%)
Batch 348: 0.092 s, average cost 0.75, 41/100 correct (41.0%)
Batch 349: 0.091 s, average cost 0.795, 35/100 correct (35.0%)
Batch 350: 0.097 s, average cost 0.797, 32/100 correct (32.0%)
Batch 351: 0.092 s, average cost 0.838, 30/100 correct (30.0%)
Batch 352: 0.087 s, average cost 0.8, 37/100 correct (37.0%)
Batch 353: 0.093 s, average cost 0.837, 36/100 correct (36.0%)
Batch 354: 0.094 s, average cost 0.821, 32/100 correct (32.0%)
Batch 355: 0.084 s, average cost 0.747, 39/100 correct (39.0%)
Batch 356: 0.0839 s, average cost 0.834, 30/100 correct (30.0%)
Batch 357: 0.084 s, average cost 0.821, 28/100 correct (28.0%)
Batch 358: 0.086 s, average cost 0.783, 33/100 correct (33.0%)
Batch 359: 0.084 s, average cost 0.827, 30/100 correct (30.0%)
Batch 360: 0.085 s, average cost 0.828, 32/100 correct (32.0%)
Batch 361: 0.087 s, average cost 0.827, 31/100 correct (31.0%)
Batch 362: 0.0857 s, average cost 0.739, 39/100 correct (39.0%)
Batch 363: 0.085 s, average cost 0.813, 33/100 correct (33.0%)
