Batch 249: 0.12 s, average cost 1.775, 14/150 correct (9.3%)
Batch 250: 0.119 s, average cost 1.716, 19/150 correct (12.7%)
Batch 251: 0.121 s, average cost 1.693, 21/150 correct (14.0%)
Batch 252: 0.1189 s, average cost 1.773, 15/150 correct (10.0%)
Batch 253: 0.12 s, average cost 1.755, 15/150 correct (10.0%)
Batch 254: 0.121 s, average cost 1.752, 17/150 correct (11.3%)
Batch 255: 0.119 s, average cost 1.725, 19/150 correct (12.7%)
Batch 256: 0.121 s, average cost 1.824, 11/150 correct (7.3%)
Batch 257: 0.1219 s, average cost 1.844, 9/150 correct (6.0%)
Batch 258: 0.12 s, average cost 1.786, 13/150 correct (8.7%)
Batch 259: 0.121 s, average cost 1.77, 14/150 correct (9.3%)
Batch 260: 0.1211 s, average cost 1.77, 14/150 correct (9.3%)
Batch 261: 0.12 s, average cost 1.683, 22/150 correct (14.7%)
Batch 262: 0.12 s, average cost 1.769, 15/150 correct (10.0%)
Batch 263: 0.1198 s, average cost 1.847, 8/150 correct (5.3%)
Batch 264: 0.121 s, average cost 1.823, 11/150 correct (7.3%)
Batch 265: 0.12 s, average cost 1.727, 19/150 correct (12.7%)
Batch 266: 0.121 s, average cost 1.788, 14/150 correct (9.3%)
Batch 267: 0.119 s, average cost 1.788, 14/150 correct (9.3%)
Batch 268: 0.12 s, average cost 1.774, 15/150 correct (10.0%)
Batch 269: 0.119 s, average cost 1.817, 11/150 correct (7.3%)
Batch 270: 0.123 s, average cost 1.866, 7/150 correct (4.7%)
Batch 271: 0.12 s, average cost 1.757, 16/150 correct (10.7%)
Batch 272: 0.122 s, average cost 1.799, 13/150 correct (8.7%)
Batch 273: 0.119 s, average cost 1.744, 16/150 correct (10.7%)
Batch 274: 0.121 s, average cost 1.704, 19/150 correct (12.7%)
Batch 275: 0.118 s, average cost 1.715, 19/150 correct (12.7%)
Batch 276: 0.12 s, average cost 1.701, 20/150 correct (13.3%)
Batch 277: 0.12 s, average cost 1.829, 10/150 correct (6.7%)
Batch 278: 0.121 s, average cost 1.834, 10/150 correct (6.7%)
Batch 279: 0.118 s, average cost 1.647, 24/150 correct (16.0%)
Batch 280: 0.12 s, average cost 1.753, 15/150 correct (10.0%)
Batch 281: 0.12 s, average cost 1.75, 16/150 correct (10.7%)
Batch 282: 0.118 s, average cost 1.726, 19/150 correct (12.7%)
Batch 283: 0.12 s, average cost 1.747, 17/150 correct (11.3%)
Batch 284: 0.121 s, average cost 1.749, 16/150 correct (10.7%)
Batch 285: 0.118 s, average cost 1.743, 16/150 correct (10.7%)
Batch 286: 0.12 s, average cost 1.724, 18/150 correct (12.0%)
Batch 287: 0.119 s, average cost 1.728, 16/150 correct (10.7%)
Batch 288: 0.12 s, average cost 1.817, 10/150 correct (6.7%)
Batch 289: 0.119 s, average cost 1.757, 16/150 correct (10.7%)
Batch 290: 0.119 s, average cost 1.735, 17/150 correct (11.3%)
Batch 291: 0.119 s, average cost 1.763, 15/150 correct (10.0%)
Batch 292: 0.12 s, average cost 1.809, 11/150 correct (7.3%)
Batch 293: 0.118 s, average cost 1.737, 17/150 correct (11.3%)
Batch 294: 0.12 s, average cost 1.633, 24/150 correct (16.0%)
Batch 295: 0.122 s, average cost 1.727, 18/150 correct (12.0%)
Batch 296: 0.12 s, average cost 1.786, 14/150 correct (9.3%)
Batch 297: 0.1203 s, average cost 1.796, 12/150 correct (8.0%)
Batch 298: 0.119 s, average cost 1.708, 18/150 correct (12.0%)
Batch 299: 0.121 s, average cost 1.84, 9/150 correct (6.0%)
Batch 300: 0.121 s, average cost 1.751, 14/150 correct (9.3%)
Batch 301: 0.1201 s, average cost 1.758, 16/150 correct (10.7%)
Batch 302: 0.1175 s, average cost 1.79, 12/150 correct (8.0%)
Batch 303: 0.122 s, average cost 1.811, 10/150 correct (6.7%)
Batch 304: 0.119 s, average cost 1.78, 14/150 correct (9.3%)
Batch 305: 0.119 s, average cost 1.795, 12/150 correct (8.0%)
Batch 306: 0.118 s, average cost 1.74, 16/150 correct (10.7%)
